ts	phase	decision	why	evidence	result
2026-06-11T00:11:51Z	frame	scoped the work: 25 adapters, metadata in 3 places (registry hash, seeds, sources.yml), health signals in 3 models, bulk migration dead-ends on unlinked series	counted before starting a long run	app/lib/scrapers/adapter_registry.rb, db/seeds.rb, config/sources.yml, app/services/source_migration_service.rb	5 implementation units planned, theme-engine and UI design-only
2026-06-11T00:21:01Z	unit-m	manifest.yml + parse boundary + registry rewire + idempotent SyncService landed; seeds source array and MATURE_SOURCE_KEYS deleted	collapse three sources of truth into one so adding or updating an adapter touches one file	config/sources/manifest.yml, app/lib/scrapers/manifest.rb, app/services/sources/sync_service.rb	sync tests 7/7 green, scraper suite 791/791 green
2026-06-11T00:21:59Z	unit-c	extended existing adapter_coverage_test into the contract gate: manifest parses, every adapter dir registered, every entry inherits BaseAdapter, browse and filter contracts hold	an adapter added without registration or drifting from the contract should fail CI, not break at runtime	test/scrapers/adapter_coverage_test.rb	7 tests, 526 assertions green
2026-06-11T00:33:27Z	review	replaced hand-rolled health-status constant, inclusion validation, and define_method predicates with a native string-backed Rails enum; deleted the unused usable scope and simplified evaluator memoization	user flagged over-abstraction; Rails enum gives predicates, validation, and scopes for free, and the speculative scope had no callers	app/models/source.rb, app/services/sources/health_evaluator.rb	41 tests green after the change
2026-06-11T00:35:23Z	unit-h	health derived as a native Rails enum (healthy/degraded/broken/dead) from smoke runs and series check failures, windowed to the last adapter version bump; hourly passive sweep job, no new network traffic	one place now answers whether a source is usable; a version bump grants probation so a fix is not damned by stale failures	app/services/sources/health_evaluator.rb, app/jobs/source_health_sweep_job.rb, config/sidekiq_schedule.yml	evaluator tests 9/9 green
2026-06-11T00:35:24Z	unit-g	bulk migration now auto-links unlinked series when the target search clears 0.8 confidence; scoring extracted to Sources::TitleMatcher shared with discovery; dropped the one-big-transaction wrap so one slow or failing series cannot roll back the batch	the old bulk path dead-ended every series not already linked to the target, making bulk migration useless for the main use case	app/services/source_migration_service.rb, app/services/sources/title_matcher.rb	migration tests 14/14 green incl 4 new auto-link cases
2026-06-11T00:36:39Z	phase-e	verified the whole against the done predicate: manifest is sole truth, sync idempotent, conformance gate live, health derived and idempotent, bulk auto-link working	predicate verification on the real suite, not per-unit checks alone	full suite 1311 runs 0 failures 0 errors; rubocop clean on all touched files	VERIFIED
2026-06-11T00:39:42Z	review	raised auto-link bar to 0.9 so only exact normalized title matches link unattended; containment matches stay manual	cross-model reviewer caught that substring containment scored exactly at the old 0.8 bar, risking wrong links like Berserk -> Berserk of Gluttony	app/services/sources/title_matcher.rb, test_execute_does_not_auto_link_containment_matches	migration tests 15/15 green
2026-06-11T01:01:16Z	unit-s	broken/dead sources skipped in scheduled chapter checks (scheduler and worker), excluded from search fan-out and migration discovery candidates; migration from a broken/dead source untouched since discovery never calls it	no point burning the full search timeout per request on a source we know cannot answer	app/jobs/check_new_chapters_job.rb, app/jobs/check_source_for_chapters_job.rb, app/controllers/search_controller.rb, app/services/source_migration_discovery_service.rb	tests green
2026-06-11T01:01:16Z	unit-rb	recovery without the cancelled daily probe: hourly sweep gives each broken source one cheap search probe on a backoff (6h under 3 days broken, 24h under 14, weekly after); a success heals it because the evaluator now discounts series failures older than the latest successful run; when the current domain fails and the community feed knows a different one, the probe tries it and adopts it stickily on success	skipping checks for broken sources removes all fresh signals, so something must knock; sticky adoption avoids the flip-flop a conditional override would cause	app/services/sources/broken_source_recheck.rb, app/jobs/source_health_sweep_job.rb, app/services/sources/health_evaluator.rb	recheck 6/6, sweep 5/5, evaluator 10/10 green
2026-06-11T01:01:16Z	unit-u	keiyoushi extensions index mirrored daily into upstream_sources (schema-validated, data-only, never touches Source rows, missing entries keep their rows); 21 of 25 manifest entries linked by mihon_id; admin Source Catalog page lists the full index with implemented badges	user wanted the community feed as canonical catalog without maintaining our own; real ingest upserted 2108 sources, 0 skipped, all 21 links resolved	app/services/sources/upstream_catalog_service.rb, config/sources/manifest.yml, app/controllers/admin/source_catalog_controller.rb	service 4/4, controller 4/4 green; manga_see batoto manga_buddy zero_scans absent from feed
2026-06-11T12:29:22Z	unit-rf	consolidated all health/domain transitions onto Source (assign_health, pin_dead, grant_probation non-saving; transition_health!, adopt_domain! persisting); SyncService/HealthEvaluator/BrokenSourceRecheck now thin callers	PR 52 review rounds showed partial resets at call sites are the dominant bug class; one named home prevents the next one	60bde3a; suite 1366 runs 0 failures with zero test edits	behavior-preserving
2026-06-11T17:03:53Z	unit-sm	health transitions expressed as aasm machine on the enum column; mark_*/pin_dead/resurrect events with per-edge evidence-reset callbacks; grant_probation deliberately a plain method; enabled stays sync-owned	user decision; machine adds InvalidTransition on undeclared edges and per-edge declared consequences	ff222af; suite 1366/0 untouched; runner smoke proved non-bang in-memory, bang persistence, invalid-edge raise	behavior-preserving
2026-06-11T18:38:22Z	unit-pin	DNS rebinding TOCTOU closed in Scrapers::HttpClient: per-request resolve via PublicUrl::SYSTEM_RESOLVER in the faraday-net_http adapter config block, internal hosts/addresses refused (InternalHostRefusedError), first public address pinned with Net::HTTP#ipaddr= so Host/SNI/cert verification stay on the hostname; proxied connections left to the proxy; unresolvable hosts left to Net::HTTP	ipaddr= is the native net-http mechanism (conn_address uses @ipaddr, SNI and post_connection_check use @address); middleware URL-rewrite would verify certs against the IP	app/lib/scrapers/http_client.rb, app/lib/scrapers/errors.rb, test/scrapers/http_client_test.rb	suite 1375/0; live: pin to 8.8.8.8 gave peeraddr=8.8.8.8 hostname-mismatch, real fetch 200
